dataset,category,stratum,feature,fit_images,check_images,median,q01,q99,fraction_outside_source_scaler_3sd,fraction_outside_source_scaler_5sd
VisA,cashew,uniform,intensity_std,8,8,0.06834191083908081,0.031764402985572815,0.29051366448402405,0.0,0.0
VisA,cashew,uniform,image_gradient,8,8,0.3059452176094055,0.028673984110355377,0.5441473126411438,0.0,0.0
VisA,chewinggum,high_response,response,8,8,-1.233938217163086,-3.2260937690734863,4.2642741203308105,0.0,0.0
VisA,chewinggum,high_response,center_surround,8,8,2.214481830596924,1.5640530586242676,3.821707248687744,0.0,0.0
VisA,chewinggum,high_response,surround,8,8,-3.6820642948150635,-5.6295294761657715,-0.1423475593328476,0.0,0.0
VisA,chewinggum,high_response,response_std,8,8,1.8839550018310547,1.345198631286621,2.65085768699646,0.0,0.0
VisA,chewinggum,high_response,intensity_mean,8,8,0.12912708520889282,0.08806543052196503,0.5568555593490601,0.0,0.0
VisA,chewinggum,high_response,intensity_std,8,8,0.06845349073410034,0.04439517483115196,0.373268723487854,0.0,0.0
VisA,chewinggum,high_response,image_gradient,8,8,0.2416124790906906,0.05887780711054802,0.528791069984436,0.0,0.0
VisA,chewinggum,uniform,response,8,8,-6.715095043182373,-11.523621559143066,-2.8090579509735107,0.0013427734375,0.0
VisA,chewinggum,uniform,center_surround,8,8,0.0595836415886879,-2.5331857204437256,1.7026174068450928,0.006103515625,0.0
VisA,chewinggum,uniform,surround,8,8,-6.776317596435547,-9.481164932250977,-3.8694839477539062,0.000244140625,0.0
VisA,chewinggum,uniform,response_std,8,8,1.2674927711486816,0.640241265296936,2.5085041522979736,0.0,0.0
VisA,chewinggum,uniform,intensity_mean,8,8,0.13068312406539917,0.03265460580587387,0.9330716133117676,0.0,0.0
VisA,chewinggum,uniform,intensity_std,8,8,0.05778764188289642,0.02154652401804924,0.3725886940956116,0.0,0.0
VisA,chewinggum,uniform,image_gradient,8,8,0.17938385903835297,0.007143524941056967,0.4926310181617737,0.0,0.0
VisA,fryum,high_response,response,8,8,-0.5203067064285278,-1.6114933490753174,1.8218231201171875,0.0,0.0
VisA,fryum,high_response,center_surround,8,8,1.3771748542785645,1.0167591571807861,3.2525899410247803,0.0,0.0
VisA,fryum,high_response,surround,8,8,-2.225529909133911,-3.066009521484375,-1.2048485279083252,0.0,0.0
VisA,fryum,high_response,response_std,8,8,1.1129566431045532,0.850985050201416,1.9112939834594727,0.0,0.0
VisA,fryum,high_response,intensity_mean,8,8,0.6888120174407959,0.44036731123924255,0.8596898317337036,0.0,0.0
