q_source,q_direction,q_name,category,num_images,auroc_detector_D,auroc_crop_M,auroc_quality_Q_alone,auroc_V3_naive,auroc_V4_quality,auroc_V5_fixed_qc,auroc_V6_adaptive,delta_V4_minus_V3,delta_V6_minus_V4,delta_V6_minus_V3
full_image_score,direct,full_image_score__direct,vial,71,0.8731656184486374,0.5230607966457024,0.6876310272536689,0.9182389937106918,0.9182389937106918,0.9255765199161425,0.9182389937106918,0.0,0.0,0.0
full_image_score,direct,full_image_score__direct,walnuts,75,0.8051851851851852,0.6429629629629628,0.42962962962962964,0.777037037037037,0.7696296296296297,0.7518518518518519,0.7696296296296297,-0.007407407407407307,0.0,-0.007407407407407307
full_image_score,inverted,full_image_score__inverted,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.24666666666666667,0.8766666666666668,0.8800000000000001,0.8766666666666667,0.8800000000000001,0.0033333333333332993,0.0,0.0033333333333332993
full_image_score,inverted,full_image_score__inverted,sheet_metal,57,0.7462962962962963,0.587037037037037,0.28703703703703703,0.7425925925925927,0.6407407407407407,0.6796296296296296,0.637037037037037,-0.10185185185185197,-0.0037037037037037646,-0.10555555555555574
full_image_score,inverted,full_image_score__inverted,vial,71,0.8731656184486374,0.5230607966457024,0.31236897274633124,0.9182389937106918,0.9234800838574424,0.9025157232704403,0.9234800838574424,0.00524109014675056,0.0,0.00524109014675056
full_image_score,inverted,full_image_score__inverted,walnuts,75,0.8051851851851852,0.6429629629629628,0.5703703703703704,0.777037037037037,0.8081481481481482,0.7933333333333333,0.8081481481481482,0.0311111111111112,0.0,0.0311111111111112
full_image_normal_score,direct,full_image_normal_score__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.6266666666666667,0.8766666666666668,0.8400000000000001,0.86,0.8400000000000001,-0.036666666666666736,0.0,-0.036666666666666736
full_image_normal_score,direct,full_image_normal_score__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.43333333333333335,0.7425925925925927,0.7518518518518519,0.7388888888888889,0.7518518518518519,0.00925925925925919,0.0,0.00925925925925919
full_image_normal_score,direct,full_image_normal_score__direct,vial,71,0.8731656184486374,0.5230607966457024,0.7348008385744235,0.9182389937106918,0.9129979035639413,0.9308176100628931,0.9119496855345912,-0.00524109014675056,-0.0010482180293500676,-0.0062893081761006275
full_image_normal_score,direct,full_image_normal_score__direct,walnuts,75,0.8051851851851852,0.6429629629629628,0.34074074074074073,0.777037037037037,0.7592592592592593,0.7481481481481482,0.7592592592592593,-0.01777777777777767,0.0,-0.01777777777777767
full_image_normal_score,inverted,full_image_normal_score__inverted,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.3733333333333333,0.8766666666666668,0.8700000000000001,0.8766666666666666,0.8700000000000001,-0.00666666666666671,0.0,-0.00666666666666671
full_image_normal_score,inverted,full_image_normal_score__inverted,sheet_metal,57,0.7462962962962963,0.587037037037037,0.5666666666666667,0.7425925925925927,0.7333333333333333,0.7407407407407408,0.7333333333333333,-0.009259259259259411,0.0,-0.009259259259259411
full_image_normal_score,inverted,full_image_normal_score__inverted,vial,71,0.8731656184486374,0.5230607966457024,0.26519916142557654,0.9182389937106918,0.9035639412997905,0.8857442348008386,0.9046121593291405,-0.01467505241090139,0.0010482180293500676,-0.013626834381551323
full_image_normal_score,inverted,full_image_normal_score__inverted,walnuts,75,0.8051851851851852,0.6429629629629628,0.6592592592592592,0.777037037037037,0.8022222222222222,0.7985185185185184,0.8014814814814816,0.0251851851851852,-0.0007407407407405975,0.024444444444444602
full_image_anomaly_score,direct,full_image_anomaly_score__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.6533333333333333,0.8766666666666668,0.8466666666666667,0.8633333333333334,0.8466666666666667,-0.030000000000000138,0.0,-0.030000000000000138
full_image_anomaly_score,direct,full_image_anomaly_score__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.4962962962962963,0.7425925925925927,0.7759259259259259,0.7481481481481481,0.7777777777777778,0.033333333333333215,0.0018518518518518823,0.0351851851851851
full_image_anomaly_score,direct,full_image_anomaly_score__direct,vial,71,0.8731656184486374,0.5230607966457024,0.69916142557652,0.9182389937106918,0.9192872117400419,0.929769392033543,0.9182389937106918,0.0010482180293500676,-0.0010482180293500676,0.0
