category,weight_id,tune_patchcore_f1,tune_rerank_f1,mean_w,max_w,gap_w,area_w,compact_w,aspect_w,semantic_w
screw,20,0.3853646333333333,0.4014367,0.5,0.0,0.0,0.0,0.25,0.25,0.0
screw,21,0.3853646333333333,0.4014367,0.4444444444444445,0.0,0.0,0.0,0.22222222222222224,0.22222222222222224,0.11111111111111112
screw,22,0.3853646333333333,0.4014367,0.4,0.0,0.0,0.0,0.2,0.2,0.2
screw,23,0.3853646333333333,0.4014367,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333
screw,24,0.3853646333333333,0.4014367,0.5,0.0,0.0,0.0,0.5,0.0,0.0
screw,25,0.3853646333333333,0.4014367,0.4444444444444445,0.0,0.0,0.0,0.4444444444444445,0.0,0.11111111111111112
screw,26,0.3853646333333333,0.4014367,0.4,0.0,0.0,0.0,0.4,0.0,0.2
screw,27,0.3853646333333333,0.4014367,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
screw,28,0.3853646333333333,0.4014367,0.4444444444444445,0.0,0.0,0.0,0.4444444444444445,0.11111111111111112,0.0
screw,29,0.3853646333333333,0.4014367,0.4,0.0,0.0,0.0,0.4,0.1,0.1
screw,30,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.18181818181818182
screw,31,0.3853646333333333,0.4221664,0.3076923076923077,0.0,0.0,0.0,0.3076923076923077,0.07692307692307693,0.3076923076923077
screw,32,0.3853646333333333,0.4014367,0.4,0.0,0.0,0.0,0.4,0.2,0.0
screw,33,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.0,0.0,0.36363636363636365,0.18181818181818182,0.09090909090909091
screw,34,0.3853646333333333,0.4014367,0.33333333333333337,0.0,0.0,0.0,0.33333333333333337,0.16666666666666669,0.16666666666666669
screw,35,0.3853646333333333,0.4221664,0.28571428571428575,0.0,0.0,0.0,0.28571428571428575,0.14285714285714288,0.28571428571428575
