category,image_id,caliper,positive_count,matched_count,coverage,median_nearest_distance,reuse_fraction,response_pair_accuracy,MLP_pair_accuracy
pcb1,4aa0507748155ccd41c16e7b,0.01,32,8,0.25,2.1002206802368164,0.125,0.625,0.75
pcb1,4aa0507748155ccd41c16e7b,0.05,32,10,0.3125,2.1002206802368164,0.09999999999999998,0.699999988079071,0.800000011920929
pcb1,4aa0507748155ccd41c16e7b,0.1,32,11,0.34375,2.1002206802368164,0.09090909090909094,0.6363636255264282,0.8181818127632141
pcb1,4bdd749184a92487f374f3ab,0.01,32,0,0.0,3.8754377365112305,,,
pcb1,4bdd749184a92487f374f3ab,0.05,32,0,0.0,3.8754377365112305,,,
pcb1,4bdd749184a92487f374f3ab,0.1,32,0,0.0,3.8754377365112305,,,
pcb1,4d7ad789330c4ea70ea3ae32,0.01,32,3,0.09375,6.343405723571777,0.0,0.0,1.0
pcb1,4d7ad789330c4ea70ea3ae32,0.05,32,3,0.09375,6.343405723571777,0.0,0.0,1.0
pcb1,4d7ad789330c4ea70ea3ae32,0.1,32,3,0.09375,6.343405723571777,0.0,0.0,1.0
pcb1,4fed9d166ca54ae4e2cbdd5e,0.01,32,0,0.0,2.916004180908203,,,
pcb1,4fed9d166ca54ae4e2cbdd5e,0.05,32,0,0.0,2.916004180908203,,,
pcb1,4fed9d166ca54ae4e2cbdd5e,0.1,32,0,0.0,2.916004180908203,,,
pcb1,50228ea6895579d622003f6f,0.01,32,0,0.0,2.225142478942871,,,
pcb1,50228ea6895579d622003f6f,0.05,32,0,0.0,2.225142478942871,,,
pcb1,50228ea6895579d622003f6f,0.1,32,0,0.0,2.225142478942871,,,
pcb1,50898a82c14d334f089ba557,0.01,32,17,0.53125,0.009516239166259766,0.0,0.6470588445663452,0.8823529481887817
pcb1,50898a82c14d334f089ba557,0.05,32,30,0.9375,0.009516239166259766,0.19999999999999996,0.6000000238418579,0.9333333373069763
pcb1,50898a82c14d334f089ba557,0.1,32,32,1.0,0.009516239166259766,0.1875,0.59375,0.9375
pcb1,529b697585bca5778aab04c4,0.01,32,10,0.3125,2.3349547386169434,0.0,0.4000000059604645,1.0
pcb1,529b697585bca5778aab04c4,0.05,32,13,0.40625,2.3349547386169434,0.0,0.4615384638309479,1.0
pcb1,529b697585bca5778aab04c4,0.1,32,14,0.4375,2.3349547386169434,0.0,0.4285714328289032,1.0
pcb1,52c0fe23ccdac65dc7944451,0.01,32,3,0.09375,1.6097521781921387,0.0,0.6666666865348816,0.0
pcb1,52c0fe23ccdac65dc7944451,0.05,32,3,0.09375,1.6097521781921387,0.0,0.6666666865348816,0.0
pcb1,52c0fe23ccdac65dc7944451,0.1,32,3,0.09375,1.6097521781921387,0.0,0.6666666865348816,0.0
pcb1,562e3709953ca4e6e4b2876d,0.01,32,15,0.46875,0.026119232177734375,0.0,0.5333333611488342,1.0
pcb1,562e3709953ca4e6e4b2876d,0.05,32,17,0.53125,0.026119232177734375,0.0,0.5882353186607361,1.0
pcb1,562e3709953ca4e6e4b2876d,0.1,32,17,0.53125,0.026119232177734375,0.0,0.5882353186607361,1.0
pcb1,5a72ee44d10a570b1fd8bb25,0.01,32,24,0.75,0.001257181167602539,0.0,0.7083333134651184,1.0
pcb1,5a72ee44d10a570b1fd8bb25,0.05,32,25,0.78125,0.001257181167602539,0.0,0.7200000286102295,1.0
pcb1,5a72ee44d10a570b1fd8bb25,0.1,32,26,0.8125,0.001257181167602539,0.0,0.7307692170143127,1.0
pcb1,5b86366603ab17a8469074b2,0.01,32,4,0.125,5.276601314544678,0.0,1.0,1.0
pcb1,5b86366603ab17a8469074b2,0.05,32,4,0.125,5.276601314544678,0.0,1.0,1.0
pcb1,5b86366603ab17a8469074b2,0.1,32,4,0.125,5.276601314544678,0.0,1.0,1.0
pcb1,5f832185524985ca3f0e92d9,0.01,32,13,0.40625,0.7967251539230347,0.0,0.692307710647583,0.692307710647583
pcb1,5f832185524985ca3f0e92d9,0.05,32,13,0.40625,0.7967251539230347,0.0,0.692307710647583,0.692307710647583
pcb1,5f832185524985ca3f0e92d9,0.1,32,13,0.40625,0.7967251539230347,0.0,0.692307710647583,0.692307710647583
pcb1,6016a0b692e7aea96d304bed,0.01,32,14,0.4375,0.15839290618896484,0.0714285714285714,0.5714285969734192,1.0
pcb1,6016a0b692e7aea96d304bed,0.05,32,16,0.5,0.15839290618896484,0.0625,0.5625,1.0
pcb1,6016a0b692e7aea96d304bed,0.1,32,16,0.5,0.15839290618896484,0.0625,0.5625,1.0
pcb1,635fa95eba6aeafd2fbc4b1b,0.01,32,22,0.6875,0.0027260780334472656,0.0,0.4545454680919647,0.7272727489471436
pcb1,635fa95eba6aeafd2fbc4b1b,0.05,32,26,0.8125,0.0027260780334472656,0.038461538461538436,0.5,0.7692307829856873
pcb1,635fa95eba6aeafd2fbc4b1b,0.1,32,27,0.84375,0.0027260780334472656,0.07407407407407407,0.5185185074806213,0.7777777910232544
