heldout_category,w_max,q_quantile,q_threshold_from_dev,tau_delta,dev_macro_auroc,dev_detector_macro_auroc,dev_delta_vs_detector,eligible_noninferior,dev_potential_call_rate,dev_active_weight_rate,valid_dev_groups,detector_dev_groups,dev_rank
pcb1,0.15,0.75,0.5171015081196173,0.5,0.911829192919292,0.911037578757876,0.0007916141614159322,True,0.1401630988786952,0.11365953109072376,11,11,18.0
pcb1,0.15,0.75,0.5171015081196173,0.75,0.9124106510651064,0.911037578757876,0.001373072307230383,True,0.1401630988786952,0.13557594291539246,11,11,15.0
pcb1,0.25,0.25,0.24329970252391564,0.25,0.9115500450045005,0.911037578757876,0.0005124662466244878,True,0.42048929663608564,0.1962283384301733,11,11,20.0
pcb1,0.25,0.25,0.24329970252391564,0.5,0.9132758625862586,0.911037578757876,0.002238283828382537,True,0.42048929663608564,0.34964322120285424,11,11,8.0
pcb1,0.25,0.25,0.24329970252391564,0.75,0.9159834233423343,0.911037578757876,0.004945844584458237,True,0.42048929663608564,0.4102956167176351,11,11,2.0
pcb1,0.25,0.5,0.377199334025218,0.25,0.9114369486948696,0.911037578757876,0.0003993699369935211,True,0.2803261977573904,0.12996941896024464,11,11,22.0
pcb1,0.25,0.5,0.377199334025218,0.5,0.9126398739873988,0.911037578757876,0.00160229522952271,True,0.2803261977573904,0.23343527013251783,11,11,12.0
pcb1,0.25,0.5,0.377199334025218,0.75,0.9144799729972998,0.911037578757876,0.0034423942394237184,True,0.2803261977573904,0.27370030581039756,11,11,4.0
pcb1,0.25,0.75,0.5171015081196173,0.25,0.9113011251125113,0.911037578757876,0.0002635463546352135,True,0.1401630988786952,0.060652395514780834,11,11,24.0
pcb1,0.25,0.75,0.5171015081196173,0.5,0.9121227722772278,0.911037578757876,0.0010851935193517681,True,0.1401630988786952,0.11365953109072376,11,11,17.0
pcb1,0.25,0.75,0.5171015081196173,0.75,0.9131921092109212,0.911037578757876,0.002154530453045145,True,0.1401630988786952,0.13557594291539246,11,11,10.0
pcb1,0.35,0.25,0.24329970252391564,0.25,0.9116648364836483,0.911037578757876,0.0006272577257722123,True,0.42048929663608564,0.1962283384301733,11,11,19.0
pcb1,0.35,0.25,0.24329970252391564,0.5,0.9140684518451845,0.911037578757876,0.0030308730873084277,True,0.42048929663608564,0.34964322120285424,11,11,6.0
pcb1,0.35,0.25,0.24329970252391564,0.75,0.9179268976897689,0.911037578757876,0.006889318931892818,True,0.42048929663608564,0.4102956167176351,11,11,1.0
pcb1,0.35,0.5,0.377199334025218,0.25,0.9115156465646564,0.911037578757876,0.0004780678067803912,True,0.2803261977573904,0.12996941896024464,11,11,21.0
pcb1,0.35,0.5,0.377199334025218,0.5,0.9131846984698471,0.911037578757876,0.002147119711971013,True,0.2803261977573904,0.23343527013251783,11,11,11.0
